country,who_region,year_start,year_end,date_first,date_last,serotype,cases,isolates,nucleotide_first,nucleotide_smallest,nucleotide_largest,npafp_first,outbreak_days,outbrk_moreyr,start_cat,who_cat,stool_start,iso_3_code,lineage,dpt3,classification
AFGHANISTAN,EMR,2010,2013,29/07/2009,13/02/2013,2,15,23,8,8,50,10.99,1295,Yes,pre-switch,EMR,92.6,AFG,,66,afp
ANGOLA,AFR,2019,2019,05/04/2019,14/05/2019,2,1,2,7,7,10,4.99,39,No,post-switch,AFR,85.1,AGO,ANG-LNO-2,57,afp
ANGOLA,AFR,2019,2020,27/04/2019,09/02/2020,2,78,105,6,6,16,4.99,288,No,post-switch,AFR,85.1,AGO,ANG-HUI-1,57,afp
ANGOLA,AFR,2019,2019,01/06/2019,25/12/2019,2,15,16,10,10,20,4.99,207,No,post-switch,AFR,85.1,AGO,ANG-LNO-1,57,afp
ANGOLA,AFR,2019,2019,15/06/2019,27/12/2019,2,34,51,6,6,14,4.99,195,No,post-switch,AFR,85.1,AGO,ANG-LUA-1,57,afp
ANGOLA,AFR,2019,2019,15/09/2019,18/12/2019,2,12,14,7,7,14,4.99,94,No,post-switch,AFR,85.1,AGO,ANG-MOX-1,57,afp
CAMBODIA,WPR,2005,2006,26/11/2005,15/01/2006,3,2,2,17,17,22,2.09,50,No,pre-switch,Other,95.8,KHM,,82,afp
CENTRAL AFRICAN REPUBLIC,AFR,2019,2019,02/05/2019,20/11/2019,2,5,22,10,7,19,9.19,202,No,post-switch,AFR,71.1,CAF,CAF-BAM-1,47,es
CENTRAL AFRICAN REPUBLIC,AFR,2019,2019,06/05/2019,29/06/2019,2,2,3,9,9,11,9.19,54,No,post-switch,AFR,71.1,CAF,CAF-BIM-1,47,es
CENTRAL AFRICAN REPUBLIC,AFR,2019,2020,06/05/2019,05/02/2020,2,9,22,6,6,17,9.19,275,No,post-switch,AFR,71.1,CAF,CAF-BNG-1,47,es
CENTRAL AFRICAN REPUBLIC,AFR,2019,2019,27/05/2019,27/05/2019,2,0,3,6,6,6,9.19,0,No,post-switch,AFR,71.1,CAF,CAF-BAM-2,47,afp
CENTRAL AFRICAN REPUBLIC,AFR,2019,2019,28/05/2019,11/09/2019,2,0,16,9,9,20,9.19,106,No,post-switch,AFR,71.1,CAF,CAF-BIM-2,47,es
CENTRAL AFRICAN REPUBLIC,AFR,2019,2019,30/07/2019,23/08/2019,2,2,9,7,7,14,9.19,24,No,post-switch,AFR,71.1,CAF,CAF-BIM-3,47,afp
CENTRAL AFRICAN REPUBLIC,AFR,2019,2019,31/08/2019,08/12/2019,2,3,7,7,7,11,9.19,99,No,post-switch,AFR,71.1,CAF,CAF-BER-1,47,es
CHAD,AFR,2019,2020,31/10/2019,05/02/2020,2,8,21,6,6,23,13.35,97,No,post-switch,AFR,88.2,TCD,CHA-NDJ-1,50,es
CHAD,AFR,2012,2013,15/08/2012,12/05/2013,2,16,16,6,6,16,6.95,270,No,pre-switch,AFR,80.9,TCD,,40,afp
CHINA,WPR,2018,2019,18/04/2018,18/08/2019,2,1,5,13,13,33,2.08,487,Yes,post-switch,Other,92.4,CHN,CHN-XXX,99,es
CHINA,WPR,2011,2012,18/10/2011,08/02/2012,2,3,4,6,6,11,1.94,113,No,pre-switch,Other,92.2,CHN,,99,afp
CHINA,WPR,2006,2006,18/03/2006,16/05/2006,1,1,7,13,13,20,1.99,59,No,pre-switch,Other,92.2,CHN,,93,afp
CHINA,WPR,2004,2004,16/06/2004,06/08/2004,1,3,7,9,9,11,1.85,51,No,pre-switch,Other,92.2,CHN,,87,afp
Democratic Republic of Congo,AFR,2019,2019,08/02/2019,17/03/2019,2,1,3,6,6,7,9.31,37,No,post-switch,AFR,85.5,COD,RDC-KAS-1,57,afp
Democratic Republic of Congo,AFR,2019,2019,10/02/2019,13/12/2019,2,20,26,8,8,15,9.31,306,No,post-switch,AFR,85.5,COD,RDC-HLO-2,57,afp
Democratic Republic of Congo,AFR,2019,2019,03/04/2019,22/06/2019,2,4,5,6,6,11,9.31,80,No,post-switch,AFR,85.5,COD,RDC-KAS-2,57,afp
Democratic Republic of Congo,AFR,2019,2019,21/04/2019,30/11/2019,2,32,35,6,6,16,9.31,223,No,post-switch,AFR,85.5,COD,RDC-SAN-1,57,afp
Democratic Republic of Congo,AFR,2019,2020,03/06/2019,08/03/2020,2,21,27,8,8,20,9.31,279,No,post-switch,AFR,85.5,COD,RDC-KAS-3,57,afp
Democratic Republic of Congo,AFR,2019,2019,27/06/2019,14/08/2019,2,1,2,7,7,7,9.31,48,No,post-switch,AFR,85.5,COD,RDC-TPA-1,57,afp
Democratic Republic of Congo,AFR,2018,2018,26/04/2018,29/10/2018,2,11,21,19,18,26,6.6,186,No,post-switch,AFR,84.1,COD,RDC-MON-1,57,afp
Democratic Republic of Congo,AFR,2018,2018,06/10/2018,07/10/2018,2,2,2,7,7,8,6.6,1,No,post-switch,AFR,84.1,COD,RDC-HKA-1,57,afp
Democratic Republic of Congo,AFR,2017,2018,20/02/2017,08/06/2018,2,27,37,15,14,29,5.8,473,Yes,post-switch,AFR,86,COD,RDC-HLO-1,57,afp
Democratic Republic of Congo,AFR,2017,2017,26/03/2017,18/04/2017,2,2,3,7,7,9,5.8,23,No,post-switch,AFR,86,COD,RDC-MAN-1,57,afp
Democratic Republic of Congo,AFR,2011,2012,17/10/2011,04/04/2012,2,30,30,8,6,32,5.53,170,No,pre-switch,AFR,83.3,COD,,74,afp
Democratic Republic of Congo,AFR,2010,2010,20/04/2010,13/10/2010,2,9,9,19,11,19,5.72,176,No,pre-switch,AFR,73.7,COD,,60,afp
Democratic Republic of Congo,AFR,2009,2010,09/08/2009,24/09/2010,2,5,5,12,12,32,4.68,411,Yes,pre-switch,AFR,73.7,COD,,72,afp
Democratic Republic of Congo,AFR,2008,2009,19/01/2008,02/03/2009,2,14,14,8,8,16,6.09,408,Yes,pre-switch,AFR,73.7,COD,,65,afp
Democratic Republic of Congo,AFR,2008,2009,29/07/2008,25/02/2009,2,5,5,12,10,16,6.09,211,No,pre-switch,AFR,73.7,COD,,65,afp
Democratic Republic of Congo,AFR,2005,2005,01/01/2005,31/08/2005,2,7,7,9,6,9,5.1,242,No,pre-switch,AFR,73.7,COD,,60,afp
DOMINICAN REPUBLIC,AMR,2000,2001,24/07/2000,30/01/2001,1,13,21,17,17,23,NA,190,No,pre-switch,Other,0,DOM,DOR00-013,78,afp
ETHIOPIA,AFR,2019,2019,30/08/2019,30/12/2019,2,0,3,14,14,14,2.91,122,No,post-switch,AFR,90.8,ETH,ETH-SOM-1,69,afp
ETHIOPIA,AFR,2019,2020,14/09/2019,12/02/2020,2,11,15,10,10,23,2.91,151,No,post-switch,AFR,90.8,ETH,ETH-ORO-1,69,afp
ETHIOPIA,AFR,2019,2020,16/12/2019,21/02/2020,2,1,2,18,18,20,2.91,67,No,post-switch,AFR,90.8,ETH,ETH-ORO-2,69,afp
ETHIOPIA,AFR,2019,2020,16/12/2019,26/01/2020,2,3,3,11,11,14,2.91,41,No,post-switch,AFR,90.8,ETH,ETH-ORO-3,69,afp
ETHIOPIA,AFR,2009,2010,27/04/2009,04/11/2010,3,7,7,12,12,28,2.59,556,Yes,pre-switch,AFR,79,ETH,,58,afp
ETHIOPIA,AFR,2008,2009,04/10/2008,16/02/2009,2,4,4,10,10,11,3,135,No,pre-switch,AFR,79,ETH,,54,afp
